Project Name,Description,Id,Ref,Source,"Publishers (Name, Reference)",Currency,Commitment,Disbursment,"Donor (Name, reference, type)",Contract Signature Date,Final Date for Implementation,Recipients,Sectors,Contract Status,"Aid Types (Name, code)",Finance Type Code,Finance Type,Activity Flow Code,Activity Flow Type,Collaboration Type Code,Collaboration Type,"Transactions (Code, Type, Amount, Start date, End date, Implementing Partner ID, Implementing Partner name)","Markers (Id, name, type)"
OSCE Special Monitoring Mission to Ukraine,"To deploy a special OSCE monitoring mission of international observers to Ukraine with the aim to contribute to reducing tensions and fostering peace, stability and security, and to monitoring and supporting the implementation of all OSCE principles and commitments, in accordance with OSCE Permanent Council (PC) Decision No.1117 (PC.DEC/1117), PC.DEC/1162.",null,EC-FPI-2016/366-840,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,4800000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2015-10-01,2016-03-31,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,20,(IATI) OOF,1,Bilateral,"D,Disbursement,4800000.0,2016-Feb-19,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Support to OSCE Special Monitoring Mission in Ukraine,"To deploy a special OSCE monitoring mission of international observers to Ukraine with the aim to contribute to reducing tensions and fostering peace, stability and security, and to monitoring and supporting the implementation of all OSCE principles and commitments, in accordance with OSCE Permanent Council (PC) Decision No.1117 (PC.DEC/1117), PC.DEC/1162.",null,EC-FPI-2015/359-338,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,2000000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2015-04-01,2015-05-31,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,400000.0,2015-Nov-11,,230015575,EC;D,Disbursement,1600000.0,2015-Jun-16,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
International Election Observation Mission for Ukraine Local Elections of 2015,"Election Observation Mission for local elections in Ukraine comprised of the core team, 50 long term observers and 300 short term observers for the first round. Potentially 120 short term observers for the second round.",null,EC-FPI-2015/366-775,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,800000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2015-09-29,2015-12-28,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,800000.0,2015-Oct-13,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
"Recrutement, Formation  et équipement de 180 policiers municipaux","Ce marché a pour objet lappui à lEcole nationale de la Police pour le recrutement, la prise en charge, la Formation initiale  et l'équipement de 180 policiers municipaux  à Niamey pendant 4 mois",null,EC-FPI-2015/361-577,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,290209.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2015-06-11,2015-10-10,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,58041.0,2015-Nov-30,,230015575,EC;E,Expenditure,116084.0,2015-Sep-01,,230015575,EC;E,Expenditure,116084.0,2015-Jun-12,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;1,Promote gender equality and empower women,MDG;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG"
Vers linsertion socio-économique des enfants les plus vulnérables de Maradi et Zinder  pour de meilleures chances davenir et une plus grande stabilité dans la région !,"Résultat 1:  Réduction des phénomènes de maltraitance et d'abus dont sont victimes les enfants en apprentissage et/ou enfants jeunes travailleurs grâce à la sensibilisation et structuration des communtautés, parents et professionnels autour des questions de protection de l'enfant Résultat  2::  Les SEJUP sont en capacité de placer 100 enfants en apprentissage et dassurer leur insertion dans la vie active à travers le renforcement des liens avec le secteur privé. ",null,EC-FPI-2014/335-492,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,523418.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-03-13,2015-11-12,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,221813.0,2015-Aug-10,,230015575,EC;D,Disbursement,301605.0,2014-May-05,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Suivi et monitoring du programme d'appui au DDR en Côte d'Ivoire,"Fournir un suivi rapproché, documenté et régulier du programme d'appui à la mise en uvre du programme d'appui au DDR. Résultats à atteindre Les résultats à atteindre par la mission sont :Appuyer la Délégation de l'Union européenne avec un monitoring serré de la mise en uvre du programme d'appui de l'UE à la mise en uvre du DDR en Côte d'Ivoire permettant une alerte précoce en cas de risque de non atteinte des résultats et recommandant le cas échéant des réorientations de l'action.",null,EC-FPI-2014/337-397,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,149999.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-03-15,2015-09-14,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,149999.0,2014-Apr-24,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Conflict reduction through improving health care services for the vulnerable population in Lebanon,Overall objective is to reduce tensions mounting around the delivery of basic health services and promote social cohesion in particular within poor Lebanese communities hosting large numbers of Syrian refugees.,null,EC-FPI-2013/335-173,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,1.8E7,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-15,2015-07-14,,Health,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,3292000.0,2015-Sep-18,,;D,Disbursement,1.4708E7,2014-Jan-31,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;3,Develop a global partnership framework,MDG;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
Support to OSCE Special Monitoring Mission to Ukraine,"support to OSCE SMM to enable it to reach its full capacity of 500 international monitors, thereby contributing to reducing tensions and fostering peace, stability and security throughout Ukraine.",null,EC-FPI-2014/345-016,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,5000000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-06-14,2014-12-13,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,4000000.0,2014-Jun-24,,230015575,EC;D,Disbursement,100000.0,2015-Aug-26,,230015575,EC;D,Disbursement,900000.0,2014-Dec-18,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
"Projet dAppui au Relèvement et à lIntégration Sociale et Economique dans les régions d'Agadez, Tahoua et Tillabéry (PARSE II).","Objectif global : Contribuer à la consolidation de la paix et à lamélioration de la stabilité sociale et économique dans les régions dAgadez, Tahoua et Tillabéry.Objectif spécifique : Créer des emplois temporaires ou durables au profit des jeunes (hommes et femmes) et des autres couches défavorisées au niveau des 26 communes des régions dAgadez, Tahoua. Et Tillabéri afin de contribuer à lamélioration de leurs revenus et de leur insertion socioéconomique.",null,EC-FPI-2013/334-917,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,2205006.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-01,2015-06-30,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,563487.0,2015-Jun-15,,230015575,EC;D,Disbursement,1641519.0,2014-Jan-27,,230015575,EC","7,Climate change adaptation,Rio Marker;6,Climate change mitigation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
"Operational Support for the Verification, Refugee Status Determination and the Search for Durable Solutions for the Residents of Temporary Transit Location (TTL) Camp Liberty Phase II",The overarching goal is to facilitate peaceful and lasting solutions for the residents of Camp Liberty. This project aims to ensure that the necessary operational and security support is in place to enable the daily functioning of the project and the processes required for the achievement of its objectives.,null,EC-FPI-2014/354-519,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,1200000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-03-05,2015-03-04,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,1200000.0,2014-Dec-19,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
